screen_id,file_name,reference_image,capture_image,category,profile,expected_result,memo
11-10,11-10.png,data/reference/11-10.png,data/capture/11-10.png,card_ui,card_ui_profile,UNKNOWN,코스 카드/대시보드형 화면
11-35,11-35.png,data/reference/11-35.png,data/capture/11-35.png,card_ui,card_ui_profile,UNKNOWN,코스 카드/대시보드형 화면
11-36,11-36.png,data/reference/11-36.png,data/capture/11-36.png,text_list,text_list_profile,UNKNOWN,여러 줄 텍스트/설정 목록 화면
11-8,11-8.png,data/reference/11-8.png,data/capture/11-8.png,card_ui,card_ui_profile,UNKNOWN,코스 카드/대시보드형 화면
12-27,12-27.png,data/reference/12-27.png,data/capture/12-27.png,status_time,status_time_profile,UNKNOWN,시간/상태 정보 중심 화면
12-29,12-29.png,data/reference/12-29.png,data/capture/12-29.png,setting_control,setting_control_profile,UNKNOWN,설정값/옵션 선택 화면
12-38,12-38.png,data/reference/12-38.png,data/capture/12-38.png,setting_control,setting_control_profile,UNKNOWN,설정값/옵션 선택 화면
12-94,12-94.png,data/reference/12-94.png,data/capture/12-94.png,setting_control,setting_control_profile,UNKNOWN,설정값/옵션 선택 화면
13-12,13-12.png,data/reference/13-12.png,data/capture/13-12.png,status_time,status_time_profile,UNKNOWN,진행 시간/상태바 중심 화면
13-2,13-2.png,data/reference/13-2.png,data/capture/13-2.png,status_time,status_time_profile,UNKNOWN,진행 상태/텍스트 중심 화면
14-10,14-10.png,data/reference/14-10.png,data/capture/14-10.png,status_time,status_time_profile,UNKNOWN,진행 상태/텍스트 중심 화면
14-11,14-11.png,data/reference/14-11.png,data/capture/14-11.png,status_time,status_time_profile,UNKNOWN,진행 상태/텍스트 중심 화면
14-21,14-21.png,data/reference/14-21.png,data/capture/14-21.png,status_time,status_time_profile,UNKNOWN,시간/상태 + 일부 카드 UI 화면
14-23,14-23.png,data/reference/14-23.png,data/capture/14-23.png,status_time,status_time_profile,UNKNOWN,시간/상태 + 숫자 정보 화면
14-24,14-24.png,data/reference/14-24.png,data/capture/14-24.png,card_ui,card_ui_profile,UNKNOWN,카드형 대시보드 화면
14-25,14-25.png,data/reference/14-25.png,data/capture/14-25.png,card_ui,card_ui_profile,UNKNOWN,카드형 대시보드 화면
14-3,14-3.png,data/reference/14-3.png,data/capture/14-3.png,status_time,status_time_profile,UNKNOWN,진행 시간/상태바 중심 화면
