screen_id,file_name,reference_image,capture_image,category,profile,expected_result,memo
11-10,11-10.png,data/reference/11-10.png,data/capture/11-10.png,general_diff,general_diff_profile,UNKNOWN,
11-35,11-35.png,data/reference/11-35.png,data/capture/11-35.png,general_diff,general_diff_profile,UNKNOWN,
11-36,11-36.png,data/reference/11-36.png,data/capture/11-36.png,general_diff,general_diff_profile,UNKNOWN,
11-8,11-8.png,data/reference/11-8.png,data/capture/11-8.png,general_diff,general_diff_profile,UNKNOWN,
12-27,12-27.png,data/reference/12-27.png,data/capture/12-27.png,general_diff,general_diff_profile,UNKNOWN,
12-29,12-29.png,data/reference/12-29.png,data/capture/12-29.png,general_diff,general_diff_profile,UNKNOWN,
12-38,12-38.png,data/reference/12-38.png,data/capture/12-38.png,general_diff,general_diff_profile,UNKNOWN,
12-94,12-94.png,data/reference/12-94.png,data/capture/12-94.png,general_diff,general_diff_profile,UNKNOWN,
13-12,13-12.png,data/reference/13-12.png,data/capture/13-12.png,general_diff,general_diff_profile,UNKNOWN,
13-2,13-2.png,data/reference/13-2.png,data/capture/13-2.png,general_diff,general_diff_profile,UNKNOWN,
14-10,14-10.png,data/reference/14-10.png,data/capture/14-10.png,general_diff,general_diff_profile,UNKNOWN,
14-11,14-11.png,data/reference/14-11.png,data/capture/14-11.png,general_diff,general_diff_profile,UNKNOWN,
14-21,14-21.png,data/reference/14-21.png,data/capture/14-21.png,general_diff,general_diff_profile,UNKNOWN,
14-23,14-23.png,data/reference/14-23.png,data/capture/14-23.png,general_diff,general_diff_profile,UNKNOWN,
14-24,14-24.png,data/reference/14-24.png,data/capture/14-24.png,general_diff,general_diff_profile,UNKNOWN,
14-25,14-25.png,data/reference/14-25.png,data/capture/14-25.png,general_diff,general_diff_profile,UNKNOWN,
14-3,14-3.png,data/reference/14-3.png,data/capture/14-3.png,general_diff,general_diff_profile,UNKNOWN,
14-32,14-32.png,data/reference/14-32.png,data/capture/14-32.png,general_diff,general_diff_profile,UNKNOWN,
14-33,14-33.png,data/reference/14-33.png,data/capture/14-33.png,general_diff,general_diff_profile,UNKNOWN,
14-34,14-34.png,data/reference/14-34.png,data/capture/14-34.png,general_diff,general_diff_profile,UNKNOWN,
14-8,14-8.png,data/reference/14-8.png,data/capture/14-8.png,general_diff,general_diff_profile,UNKNOWN,
14-9,14-9.png,data/reference/14-9.png,data/capture/14-9.png,general_diff,general_diff_profile,UNKNOWN,
15-1,15-1.png,data/reference/15-1.png,data/capture/15-1.png,general_diff,general_diff_profile,UNKNOWN,
15-12,15-12.png,data/reference/15-12.png,data/capture/15-12.png,general_diff,general_diff_profile,UNKNOWN,
15-13,15-13.png,data/reference/15-13.png,data/capture/15-13.png,general_diff,general_diff_profile,UNKNOWN,
15-14,15-14.png,data/reference/15-14.png,data/capture/15-14.png,general_diff,general_diff_profile,UNKNOWN,
15-147,15-147.png,data/reference/15-147.png,data/capture/15-147.png,general_diff,general_diff_profile,UNKNOWN,
15-149,15-149.png,data/reference/15-149.png,data/capture/15-149.png,general_diff,general_diff_profile,UNKNOWN,
15-150,15-150.png,data/reference/15-150.png,data/capture/15-150.png,general_diff,general_diff_profile,UNKNOWN,
