screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,memo,final_reasons,alignment_type,issue_priority
11-35,11-35.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_localized_missing_text,2,2,0,0.024357,0.919298,0.221591,0,0,0,0.0,0.0,,0.002118,0.33636,좌측 이상 글씨 검출,카드 UI에서 국소 텍스트 누락이 검출됨,MATCH,4
14-24,14-24.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,19,19,0,0.069139,0.876255,0.160575,0,0,0,0.0,0.0,,0.182511,0.909886,카드 UI 그라데이션 색 빠짐,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.182511, histogram_distance=0.909886",MATCH,4
14-25,14-25.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,21,21,0,0.054377,0.885535,0.092329,0,0,0,0.0,0.0,,0.033677,0.99613,카드 UI 그라데이션 색 빠짐,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.033677, histogram_distance=0.99613",MATCH,4
14-33,14-33.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_major_structure_difference,14,14,0,0.178678,0.792548,0.053577,0,0,0,0.0,0.0,,0.069113,0.933412,중앙 그림 구성이 아예 다름,"카드 UI의 여러 구성 요소가 동시에 큰 폭으로 달라짐: area=0.178678, roi_count=14",MATCH,4
14-34,14-34.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_major_structure_difference,22,22,0,0.104346,0.846983,0.092329,0,0,0,0.0,0.0,,0.069113,0.933412,중앙 그림 구성이 아예 다름,"카드 UI의 여러 구성 요소가 동시에 큰 폭으로 달라짐: area=0.104346, roi_count=22",MATCH,4
15-63,15-63.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.090975,0.834099,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.090975, roi_count=6",MATCH,4
15-64,15-64.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.092925,0.831249,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.092925, roi_count=6",MATCH,4
15-65,15-65.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.091567,0.829463,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.091567, roi_count=6",MATCH,4
15-66,15-66.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.089979,0.837323,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.089979, roi_count=6",MATCH,4
18-3,18-3.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.181094,0.892283,0.610803,0,1,0,0.0,0.0,,0.212448,0.843904,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.212448, histogram_distance=0.843904",MATCH,4
18-4,18-4.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.181294,0.89181,0.609012,0,0,0,0.0,0.0,,0.212201,0.843833,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.212201, histogram_distance=0.843833",MATCH,4
18-5,18-5.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.167472,0.915255,0.649766,0,0,0,0.0,0.0,,0.226245,0.845894,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.226245, histogram_distance=0.845894",MATCH,4
4-1,4-1.png,setting_control,setting_control_profile,FAIL,FAIL,FAIL,setting_text_brightness_loss,1,1,0,0.001003,0.998972,0.711542,0,0,0,0.0,124.0,,0.0,0.0,60°C 글씨 색 희미함,"설정 화면의 국소 글자 밝기가 크게 감소함: roi_count=1, brightness_loss=124.0",MATCH,4
4-8,4-8.png,setting_control,setting_control_profile,FAIL,FAIL,FAIL,setting_text_brightness_loss,1,1,0,0.003582,0.994052,0.089631,0,0,0,0.0,255.0,,0.0,0.0,상단 좌측 글씨 아예 빠짐,"설정 화면의 국소 글자 밝기가 크게 감소함: roi_count=1, brightness_loss=255.0",MATCH,4
4-9,4-9.png,setting_control,setting_control_profile,FAIL,FAIL,FAIL,setting_text_brightness_loss,1,1,0,0.003582,0.994052,0.089631,0,0,0,0.0,255.0,,0.0,0.0,상단 좌측 글씨 아예 빠짐,"설정 화면의 국소 글자 밝기가 크게 감소함: roi_count=1, brightness_loss=255.0",MATCH,4
13-12,13-12.png,status_time,status_time_profile,FAIL,FAIL,FAIL,status_progress_bar_difference,15,15,0,0.059792,0.835497,0.008295,0,0,0,0.0,0.0,0.028125,0.0,0.0,게이지 검사 옵션 ON 기준 채워진 정도 다름,진행 상태 바의 채워진 길이 차이가 허용 기준을 초과함: delta=0.028125,MATCH,4
14-10,14-10.png,status_time,status_time_profile,FAIL,FAIL,FAIL,confirmed_missing_text,6,5,1,0.051815,0.926511,0.063926,1,0,0,0.0,0.0,,0.0,0.0,글씨 아예 없음,중요 텍스트 누락 또는 교체 증거 1개,MATCH,4
