screen_id,file_name,category,profile,expected_result,final_status,diff_roi_count,pass_roi_count,review_roi_count,fail_roi_count,total_diff_area_ratio,is_loading_like,memo,final_reasons
11-10,11-10.png,card_ui,card_ui_profile,PASS,PASS,6,0,6,0,0.00813,False,사람 기준 통과 가능,카드 UI의 분산형 위치/렌더링 차이로 자동 PASS
11-35,11-35.png,card_ui,card_ui_profile,REVIEW,REVIEW,2,0,2,0,0.024357,False,좌측 글씨 다름,REVIEW ROI 2개 존재 | 카드 UI에서 적은 ROI지만 면적이 커 글씨/사진 차이 가능성으로 REVIEW 유지
11-36,11-36.png,text_list,text_list_profile,PASS,PASS,0,0,0,0,0.0,False,사람 기준 통과 가능,차이 ROI가 검출되지 않음
11-8,11-8.png,card_ui,card_ui_profile,PASS,REVIEW,3,0,3,0,0.018086,False,사람 기준 통과 가능,REVIEW ROI 3개 존재 | 카드 UI 차이가 자동 PASS 기준보다 큼
12-27,12-27.png,status_time,status_time_profile,PASS,PASS,3,0,3,0,0.013486,False,사람 기준 통과 가능,상태/시간 화면의 매우 작은 위치/렌더링 차이로 자동 PASS
12-29,12-29.png,setting_control,setting_control_profile,PASS,PASS,8,0,8,0,0.058875,False,사람 기준 통과 가능,설정 화면의 분산형 위치/렌더링 차이로 자동 PASS
12-38,12-38.png,setting_control,setting_control_profile,PASS,PASS,8,0,8,0,0.058875,False,사람 기준 통과 가능,설정 화면의 분산형 위치/렌더링 차이로 자동 PASS
12-94,12-94.png,setting_control,setting_control_profile,PASS,PASS,0,0,0,0,0.0,False,사람 기준 통과 가능,차이 ROI가 검출되지 않음
13-12,13-12.png,status_time,status_time_profile,REVIEW,REVIEW,15,0,15,0,0.059792,False,게이지 채워진 정도 다름,"상태/시간 화면에서 텍스트 누락 후보가 있으나 OCR/게이지/위치 차이 가능성으로 REVIEW 처리: missing_text_count=1, area=0.059792, roi_count=15"
13-2,13-2.png,status_time,status_time_profile,PASS,REVIEW,13,0,13,0,0.081665,False,사람 기준 통과 가능,"상태/시간 화면에서 텍스트 누락 후보가 있으나 OCR/게이지/위치 차이 가능성으로 REVIEW 처리: missing_text_count=1, area=0.081665, roi_count=13"
14-10,14-10.png,status_time,status_time_profile,FAIL,REVIEW,6,0,6,0,0.051815,False,글씨 아예 없음,REVIEW ROI 6개 존재 | 상태/시간 화면은 숫자/상태 정보 오류 위험으로 자동 PASS 제한
14-11,14-11.png,status_time,status_time_profile,PASS,REVIEW,10,1,9,0,0.009552,False,사람 기준 통과 가능,REVIEW ROI 9개 존재 | 상태/시간 화면은 숫자/상태 정보 오류 위험으로 자동 PASS 제한
14-21,14-21.png,status_time,status_time_profile,PASS,REVIEW,7,0,7,0,0.063984,False,사람 기준 통과 가능,전체 차이 면적 비율이 기준을 초과했지만 OS/UI 위치 차이 가능성으로 REVIEW 처리: 0.063984 >= 0.06
14-23,14-23.png,status_time,status_time_profile,PASS,REVIEW,17,1,16,0,0.063747,False,사람 기준 통과 가능,"상태/시간 화면에서 텍스트 누락 후보가 있으나 OCR/게이지/위치 차이 가능성으로 REVIEW 처리: missing_text_count=1, area=0.063747, roi_count=17"
14-24,14-24.png,card_ui,card_ui_profile,REVIEW,REVIEW,19,0,19,0,0.069139,False,사진 안에 색 빠짐,REVIEW ROI 19개 존재 | 카드 UI 차이가 자동 PASS 기준보다 큼
14-25,14-25.png,card_ui,card_ui_profile,REVIEW,REVIEW,21,0,21,0,0.054377,False,사진 안에 색 빠짐,REVIEW ROI 21개 존재 | 카드 UI 차이가 자동 PASS 기준보다 큼
14-3,14-3.png,status_time,status_time_profile,PASS,REVIEW,8,0,6,2,0.074886,False,사람 기준 통과 가능,전체 차이 면적 비율이 기준을 초과했지만 OS/UI 위치 차이 가능성으로 REVIEW 처리: 0.074886 >= 0.06
14-32,14-32.png,status_time,status_time_profile,PASS,REVIEW,16,0,16,0,0.064409,False,사람 기준 통과 가능,"상태/시간 화면에서 텍스트 누락 후보가 있으나 OCR/게이지/위치 차이 가능성으로 REVIEW 처리: missing_text_count=1, area=0.064409, roi_count=16"
14-33,14-33.png,card_ui,card_ui_profile,FAIL,FAIL,14,0,14,0,0.178678,False,중앙 그림 구성이 아예 다름,"카드 UI 화면에서 큰 구조 차이 감지: area=0.178678, roi_count=14"
14-34,14-34.png,card_ui,card_ui_profile,FAIL,FAIL,22,0,21,1,0.104346,False,중앙 그림 구성이 아예 다름,"카드 UI 화면에서 큰 구조 차이 감지: area=0.104346, roi_count=22"
14-8,14-8.png,text_list,text_list_profile,FAIL,FAIL,10,0,10,0,0.075853,False,좌측 위 그림 빠짐,"텍스트 목록 화면에서 큰 누락/구성 차이 감지: area=0.075853, roi_count=10, fail_roi=0"
14-9,14-9.png,text_list,text_list_profile,PASS,REVIEW,8,1,6,1,0.053638,False,사람 기준 통과 가능,FAIL ROI 1개가 있으나 텍스트/설정/상태 화면의 OCR·SSIM 오탐 가능성으로 REVIEW 처리
15-1,15-1.png,text_list,text_list_profile,PASS,REVIEW,13,4,9,0,0.030454,True,사람 기준 통과 가능,REVIEW ROI 9개 존재 | 텍스트 목록 화면은 자동 PASS 기준보다 차이가 큼
15-12,15-12.png,setting_control,setting_control_profile,PASS,REVIEW,11,0,10,1,0.043506,False,사람 기준 통과 가능,FAIL ROI 1개가 있으나 텍스트/설정/상태 화면의 OCR·SSIM 오탐 가능성으로 REVIEW 처리
