screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,memo,final_reasons
11-10,11-10.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,6,6,0,0.00813,0.911762,-0.083883,0,0,0,0.0,0.0,,0.000142,0.086669,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
11-35,11-35.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 이상 글씨 검출,차이 ROI가 검출되지 않음
11-36,11-36.png,text_list,text_list_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
11-8,11-8.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,3,3,0,0.018086,0.963571,0.646764,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
12-27,12-27.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,3,3,0,0.013486,0.973313,0.198343,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
12-29,12-29.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.058875,0.908322,0.149019,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
12-38,12-38.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.058875,0.9089,0.149019,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
12-94,12-94.png,setting_control,setting_control_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
13-12,13-12.png,status_time,status_time_profile,FAIL,FAIL,FAIL,status_progress_bar_difference,15,15,0,0.059792,0.835497,0.008295,0,0,0,0.0,0.0,0.028125,0.0,0.0,게이지 검사 옵션 ON 기준 채워진 정도 다름,진행 상태 바의 채워진 길이 차이가 허용 기준을 초과함: delta=0.028125
13-2,13-2.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,13,13,0,0.081665,0.821406,0.008249,0,0,0,0.0,0.0,0.01875,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-10,14-10.png,status_time,status_time_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,글씨 아예 없음,차이 ROI가 검출되지 않음
14-11,14-11.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.009552,0.975603,0.354535,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-21,14-21.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,7,7,0,0.063984,0.896932,0.19305,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-23,14-23.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,17,17,0,0.063747,0.890844,0.058106,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-24,14-24.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,카드 UI 그라데이션 색 빠짐,차이 ROI가 검출되지 않음
14-25,14-25.png,card_ui,card_ui_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,카드 UI 그라데이션 색 빠짐,차이 ROI가 검출되지 않음
14-3,14-3.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.074886,0.887623,0.180352,0,2,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-32,14-32.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,16,16,0,0.064409,0.889606,0.058106,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
14-33,14-33.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,14,14,0,0.178678,0.792548,0.053577,0,0,0,0.0,0.0,,0.069113,0.933412,중앙 그림 구성이 아예 다름,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.069113, histogram_distance=0.933412"
14-34,14-34.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_gradient_color_difference,22,22,0,0.104346,0.846983,0.092329,0,0,0,0.0,0.0,,0.069113,0.933412,중앙 그림 구성이 아예 다름,"카드 UI의 부드러운 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.069113, histogram_distance=0.933412"
14-8,14-8.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,좌측 위 그림 빠짐,차이 ROI가 검출되지 않음
14-9,14-9.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.053638,0.917372,0.257618,0,1,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-1,15-1.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,13,13,0,0.030454,0.930722,-0.01391,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-12,15-12.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,11,11,0,0.043506,0.866141,0.002811,0,1,0,0.0,102.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-13,15-13.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.062171,0.859654,0.074995,0,1,0,0.0,255.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-14,15-14.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.063687,0.859905,0.074995,0,1,0,0.0,255.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-147,15-147.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_multiple_text_mismatches,9,9,0,0.044754,0.89786,0.067113,0,5,0,0.0,0.0,,0.0,0.0,상태 표시 아이콘 다름,신뢰도 높은 텍스트 불일치가 여러 ROI에서 검출됨: count=5
15-149,15-149.png,text_list,text_list_profile,FAIL,FAIL,FAIL,text_list_multiple_text_mismatches,10,10,0,0.060449,0.874577,0.18804,0,3,0,0.0,0.0,,0.0,0.0,글씨 구성 위치가 아예 다름,신뢰도 높은 텍스트 불일치가 여러 ROI에서 검출됨: count=3
15-150,15-150.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,3,3,0,0.002474,0.990388,0.529021,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-22,15-22.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,5,5,0,0.006071,0.985976,0.140632,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-27,15-27.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.008018,0.982446,0.108264,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-4,15-4.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,글씨 밝기 희미함,차이 ROI가 검출되지 않음
15-49,15-49.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,9,9,0,0.00925,0.979944,0.10697,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-51,15-51.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,7,7,0,0.009268,0.980927,0.097597,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-62,15-62.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,글씨 밝기 희미함,차이 ROI가 검출되지 않음
15-63,15-63.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.090975,0.834099,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.090975, roi_count=6"
15-64,15-64.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.092925,0.831249,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.092925, roi_count=6"
